McMakler GmbH,Junior Valuation Analyst / Junior Immobilienbewerter (m/w/x),Berlin,26d
Cocomore AG,Junior Data Analyst (all genders),Berlin,4d
Customlytics GmbH,Junior Data Analyst (m/w/d),Berlin,13d
ELEMENT Insurance AG,(Junior) Data Analyst (m/f/div),Berlin,25d
GOCOMO GmbH,(Junior) Data Analyst,Berlin,16d
The Social Chain AG,(Junior) Data Analyst - Analytics & Dashboarding (w/m/d),Berlin,30d+
audibene / hear.com,(Junior) Business Analyst,Berlin,5d
Sonova Digital,(Junior) Data Analyst (m/f/d),Berlin,30d+
datapine GmbH,Junior Data Analyst (m/w/d),Berlin,30d+
Chantelle Lingerie GmbH,Junior UX researcher / analyst,Berlin,7d
Flix,(Junior) Business Analyst (m/f/d) Commercial Performance,Berlin,3d
auticon GmbH,Data Analyst (m/w/d),Berlin,3d
Ztech,(Junior) Data Engineer – BI Plattform Developer (m/w/d),Berlin,24h
Verti Versicherung AG,Junior Data Warehouse Entwickler/ Analyst (m/w/d),Teltow,30d+
AutoScout24,Junior / Senior Product Analyst (m/f/d),Berlin,10d
Solarisbank,Junior Analyst Banking Operations - KYC Due Diligence (m/f/div) at Solarisbank AG,Berlin,30d+
Universal Music Group,(Junior) Financial Data Analyst (all genders),Germany,30d+
Customlytics GmbH,Junior Data Engineer (m/w/d),Berlin,13d
audibene,(Junior) Business Analyst,Berlin,4d
home24 SE,(Junior) Commercial BI Analyst (m/f/d),Berlin,11d
pb ReCommerce GmbH,Junior Business Intelligence Analyst (m/w/d),Berlin,17d
Zalando,Junior Business Analyst (f/m/d),Berlin,12d
METATRUST GmbH,Junior Market Analyst (f/m/d) Prop Tech - Investment Platform,Berlin,6d
Solarisbank,Junior Analyst Banking Operations (m/f/div) at Solarisbank AG,Berlin,30d+
Puls Technologies GmbH,Junior Credit Risk Analyst (m/w/x),Berlin,12d
AUTO1,"Junior Data Analyst / Business Analyst, Operations (f/m/x)",Berlin,30d+
Yagora GmbH,Junior Data Scientist (m / w /d) - Berlin,Berlin,24d
Universal Music,(Junior) Financial Data Analyst (all genders) – Finance & Controlling – Universal Music Entertainment GmbH,Berlin,30d+
METATRUST GmbH,Junior Research Analyst (f/m/d) PropTech - Investment Platform & Data Services,Berlin,30d+
home24 SE,(Junior) Finance Manager with Focus on Data/BI (m/f/d),Berlin,24h
